selection_order,frame_id,extraction_session_id,venue,year,period,selection_stratum,official_program_url,content_url,s3_in_original_order,included_predictions,fulfilled,not_fulfilled,indeterminate
108,CCC-2012-035,CCC-2012-035,CCC,2012,2010-2014,prospective_metadata,https://media.ccc.de/v/29c3-5225-en-security_evaluation_of_russian_gost_cipher_h264,https://cdn.media.ccc.de/congress/2012/mp4-h264-HQ/29c3-5225-en-security_evaluation_of_russian_gost_cipher_h264.mp4,1,0,0,0,0
109,BHPRO-2018-09,BHPRO-2018-09,Black Hat USA,2018,2015-2018,prospective_metadata,https://blackhat.com/us-18/briefings.html,https://www.youtube.com/watch?v=4svMU1qGods,1,0,0,0,0
110,CCC-2015-054,CCC-2015-054,CCC,2015,2015-2018,prospective_metadata,https://media.ccc.de/v/32c3-7426-intelexit,https://cdn.media.ccc.de/congress/2015/h264-sd/32c3-7426-en-de-Intelexit_sd.mp4,1,0,0,0,0
111,CCC-2007-014,CCC-2007-014,CCC,2007,2005-2009,prospective_metadata,https://media.ccc.de/v/24c3-2336-de-security_nightmares,https://cdn.media.ccc.de/congress/2007/mp4/24c3-2336-de-security_nightmares_high.mp4,1,5,4,0,1
112,CCC-2012-034,CCC-2012-034,CCC,2012,2010-2014,prospective_metadata,https://media.ccc.de/v/29c3-5374-en-re_igniting_the_crypto_wars_on_the_web_h264,https://cdn.media.ccc.de/congress/2012/mp4-h264-HQ/29c3-5374-en-re_igniting_the_crypto_wars_on_the_web_h264.mp4,1,1,1,0,0
113,BHPRO-2017-05,BHPRO-2017-05,Black Hat USA,2017,2015-2018,prospective_metadata,https://blackhat.com/us-17/briefings.html,https://www.youtube.com/watch?v=mGmT0Rd838w,1,0,0,0,0
114,CCC-2018-075,CCC-2018-075,CCC,2018,2015-2018,prospective_metadata,https://media.ccc.de/v/35c3-9877-censored_planet_a_global_censorship_observatory,https://cdn.media.ccc.de/congress/2018/slides-h264-hd/35c3-9877-eng-deu-Censored_Planet_a_Global_Censorship_Observatory_hd-slides.mp4,1,0,0,0,0
115,CCC-2014-046,CCC-2014-046,CCC,2014,2010-2014,prospective_metadata,https://media.ccc.de/v/31c3_-_6321_-_en_-_saal_1_-_201412282300_-_the_matter_of_heartbleed_-_zakir_durumeric,https://cdn.media.ccc.de/congress/2014/h264-hd/31c3-6321-en-de-The_Matter_of_Heartbleed_hd.mp4,1,0,0,0,0
116,BHKEY-2016-01,BHKEY-2016-01,Black Hat USA,2016,2015-2018,keynote,https://blackhat.com/us-16/briefings.html,https://www.youtube.com/watch?v=RAGwol-keXM,1,0,0,0,0
117,CCC-2017-065,CCC-2017-065,CCC,2017,2015-2018,prospective_metadata,https://media.ccc.de/v/34c3-9044-growing_up_software_development,https://cdn.media.ccc.de/congress/2017/slides-h264-hd/34c3-9044-eng-deu-Growing_Up_Software_Development_hd-slides.mp4,1,0,0,0,0
118,CCC-2013-042,CCC-2013-042,CCC,2013,2010-2014,prospective_metadata,https://media.ccc.de/v/30C3_-_5223_-_en_-_saal_6_-_201312292030_-_wargames_in_memory_-_gannimo,https://cdn.media.ccc.de/congress/2013/mp4-lq/30c3-5223-en-WarGames_in_memory_h264-iprod.mp4,1,0,0,0,0
119,BHPRO-2018-03,BHPRO-2018-03,Black Hat USA,2018,2015-2018,prospective_metadata,https://blackhat.com/us-18/briefings.html,https://www.youtube.com/watch?v=1D6ijAUwK-4,1,0,0,0,0
120,CCC-2016-059,CCC-2016-059,CCC,2016,2015-2018,prospective_metadata,https://media.ccc.de/v/33c3-8095-radare_demystified,https://cdn.media.ccc.de/congress/2016/h264-hd/33c3-8095-eng-deu-fra-radare_demystified_hd.mp4,1,0,0,0,0
121,CCC-2014-044,CCC-2014-044,CCC,2014,2010-2014,keynote,https://media.ccc.de/v/31c3_-_6571_-_en_-_saal_1_-_201412271130_-_31c3_keynote_-_alecempire,https://cdn.media.ccc.de/congress/2014/h264-sd/31c3-6571-en-31C3_Keynote_sd.mp4,1,0,0,0,0
122,CCC-2015-050,CCC-2015-050,CCC,2015,2015-2018,prospective_metadata,https://media.ccc.de/v/32c3-7252-in_security_of_embedded_devices_firmware_-_fast_and_furious_at_large_scale,https://cdn.media.ccc.de/congress/2015/h264-hd-web/32c3-7252-en-In_Security_of_Embedded_Devices_Firmware_-_Fast_and_Furious_at_Large_Scale.mp4,1,0,0,0,0
123,CCC-2014-048,CCC-2014-048,CCC,2014,2010-2014,prospective_metadata,https://media.ccc.de/v/31c3_-_6572_-_de_-_saal_1_-_201412301715_-_security_nightmares_-_frank_-_ron,https://cdn.media.ccc.de/congress/2014/h264-hd/31c3-6572-de-en-Security_Nightmares_hd.mp4,1,3,2,0,1
124,CCC-2018-082,CCC-2018-082,CCC,2018,2015-2018,prospective_metadata,https://media.ccc.de/v/35c3-9618-jailbreaking_ios,https://cdn.media.ccc.de/congress/2018/slides-h264-hd/35c3-9618-eng-deu-Jailbreaking_iOS_hd-slides.mp4,1,0,0,0,0
125,CCC-2012-036,CCC-2012-036,CCC,2012,2010-2014,prospective_metadata,https://media.ccc.de/v/29c3-5256-en-the_future_of_protocol_reversing_and_simulation_h264,https://cdn.media.ccc.de/congress/2012/mp4-h264-HQ/29c3-5256-en-the_future_of_protocol_reversing_and_simulation_h264.mp4,1,0,0,0,0
126,CCC-2016-058,CCC-2016-058,CCC,2016,2015-2018,prospective_metadata,https://media.ccc.de/v/33c3-8074-recount_2016_an_uninvited_security_audit_of_the_u_s_presidential_election,https://cdn.media.ccc.de/congress/2016/h264-hd/33c3-8074-eng-deu-rus-Recount_2016_An_Uninvited_Security_Audit_of_the_US_Presidential_Election_hd.mp4,1,1,1,0,0
127,CCC-2012-037,CCC-2012-037,CCC,2012,2010-2014,prospective_metadata,https://media.ccc.de/v/29c3-5244-de-en-security_nightmares2012_h264,https://cdn.media.ccc.de/congress/2012/mp4-h264-HQ/29c3-5244-de-en-security_nightmares2012_h264.mp4,1,3,2,0,1
128,CCC-2017-068,CCC-2017-068,CCC,2017,2015-2018,prospective_metadata,https://media.ccc.de/v/34c3-8965-decoding_contactless_card_payments,https://cdn.media.ccc.de/congress/2017/slides-h264-hd/34c3-8965-eng-deu-Decoding_Contactless_Card_Payments_hd-slides.mp4,1,0,0,0,0
129,CCC-2017-070,CCC-2017-070,CCC,2017,2015-2018,prospective_metadata,https://media.ccc.de/v/34c3-8940-policing_in_the_age_of_data_exploitation,https://cdn.media.ccc.de/congress/2017/slides-h264-hd/34c3-8940-eng-deu-Policing_in_the_age_of_data_exploitation_hd-slides.mp4,1,0,0,0,0
130,CCC-2017-061,CCC-2017-061,CCC,2017,2015-2018,prospective_metadata,https://media.ccc.de/v/34c3-9270-dude_you_broke_the_future,https://cdn.media.ccc.de/congress/2017/slides-h264-sd/34c3-9270-eng-Dude_you_broke_the_Future_sd-slides.mp4,1,1,0,1,0
131,CCC-2015-056,CCC-2015-056,CCC,2015,2015-2018,prospective_metadata,https://media.ccc.de/v/32c3-7546-security_nightmares_0x10,https://cdn.media.ccc.de/congress/2015/h264-hd-web/32c3-7546-de-Security_Nightmares_0x10.mp4,1,5,4,1,0
132,CCC-2017-063,CCC-2017-063,CCC,2017,2015-2018,prospective_metadata,https://media.ccc.de/v/34c3-8915-how_can_you_trust_formally_verified_software,https://cdn.media.ccc.de/congress/2017/h264-hd/34c3-8915-deu-How_can_you_trust_formally_verified_software.mp4,1,0,0,0,0
133,CCC-2017-072,CCC-2017-072,CCC,2017,2015-2018,prospective_metadata,https://media.ccc.de/v/34c3-9172-fuck_dutch_mass-surveillance_let_s_have_a_referendum,https://cdn.media.ccc.de/congress/2017/slides-h264-hd/34c3-9172-eng-deu-Fuck_Dutch_mass-surveillance_lets_have_a_referendum_hd-slides.mp4,1,1,1,0,0
134,CCC-2018-078,CCC-2018-078,CCC,2018,2015-2018,prospective_metadata,https://media.ccc.de/v/35c3-9647-taming_the_chaos_can_we_build_systems_that_actually_work,https://cdn.media.ccc.de/congress/2018/slides-h264-hd/35c3-9647-eng-deu-Taming_the_Chaos_Can_we_build_systems_that_actually_work_hd-slides.mp4,1,0,0,0,0
135,CCC-2015-051,CCC-2015-051,CCC,2015,2015-2018,prospective_metadata,https://media.ccc.de/v/32c3-7482-say_hi_to_your_new_boss_how_algorithms_might_soon_control_our_lives,https://cdn.media.ccc.de/congress/2015/h264-hd-web/32c3-7482-en-Say_hi_to_your_new_boss_How_algorithms_might_soon_control_our_lives.mp4,1,0,0,0,0
136,CCC-2017-062,CCC-2017-062,CCC,2017,2015-2018,prospective_metadata,https://media.ccc.de/v/34c3-8874-gamified_control,https://cdn.media.ccc.de/congress/2017/h264-sd/34c3-8874-eng-deu-Gamified_Control_sd.mp4,1,4,0,4,0
137,CCC-2018-080,CCC-2018-080,CCC,2018,2015-2018,prospective_metadata,https://media.ccc.de/v/35c3-9893-a_christmas_carol_-_the_spectres_of_the_past_present_and_future,https://cdn.media.ccc.de/congress/2018/h264-hd/35c3-9893-eng-deu-fra-A_Christmas_Carol_-_The_Spectres_of_the_Past_Present_and_Future_hd.mp4,1,0,0,0,0
138,CCC-2017-071,CCC-2017-071,CCC,2017,2015-2018,prospective_metadata,https://media.ccc.de/v/34c3-9086-protecting_your_privacy_at_the_border,https://cdn.media.ccc.de/congress/2017/slides-h264-hd/34c3-9086-eng-deu-Protecting_Your_Privacy_at_the_Border_hd-slides.mp4,1,0,0,0,0
