"master_order","frame_id","venue","year","title","session_type","selection_stratum","official_program_url","content_url","metadata_horizon_status","prior_status","source_grade"
"121","CCC-2014-047","CCC","2014","CAESAR and NORX","prospective_session","prospective_metadata","https://media.ccc.de/v/31c3_-_6137_-_en_-_saal_g_-_201412291600_-_caesar_and_norx_-_philipp_jovanovic_-_aumasson","https://media.ccc.de/v/31c3_-_6137_-_en_-_saal_g_-_201412291600_-_caesar_and_norx_-_philipp_jovanovic_-_aumasson","unbounded_in_metadata","enumerated","S3"
"122","CCC-2014-048","CCC","2014","Security Nightmares","prospective_session","prospective_metadata","https://media.ccc.de/v/31c3_-_6572_-_de_-_saal_1_-_201412301715_-_security_nightmares_-_frank_-_ron","https://media.ccc.de/v/31c3_-_6572_-_de_-_saal_1_-_201412301715_-_security_nightmares_-_frank_-_ron","annual_series_horizon_requires_source_confirmation","enumerated","S3"
"123","CCC-2015-049","CCC","2015","32C3 Keynote","keynote","keynote","https://media.ccc.de/v/32c3-7565-keynote","https://media.ccc.de/v/32c3-7565-keynote","unknown_until_source_screening","enumerated","S3"
"124","CCC-2015-050","CCC","2015","(In)Security of Embedded Devices' Firmware - Fast and Furious at Large Scale","prospective_session","prospective_metadata","https://media.ccc.de/v/32c3-7252-in_security_of_embedded_devices_firmware_-_fast_and_furious_at_large_scale","https://media.ccc.de/v/32c3-7252-in_security_of_embedded_devices_firmware_-_fast_and_furious_at_large_scale","explicit_future_year_in_metadata","enumerated","S3"
"125","CCC-2015-051","CCC","2015","Say hi to your new boss: How algorithms might soon control our lives.","prospective_session","prospective_metadata","https://media.ccc.de/v/32c3-7482-say_hi_to_your_new_boss_how_algorithms_might_soon_control_our_lives","https://media.ccc.de/v/32c3-7482-say_hi_to_your_new_boss_how_algorithms_might_soon_control_our_lives","unbounded_in_metadata","enumerated","S3"
"126","CCC-2015-052","CCC","2015","Prediction and Control","prospective_session","prospective_metadata","https://media.ccc.de/v/32c3-7449-prediction_and_control","https://media.ccc.de/v/32c3-7449-prediction_and_control","unbounded_in_metadata","enumerated","S3"
"127","CCC-2015-053","CCC","2015","Ten years after âWe Lost The Warâ","prospective_session","prospective_metadata","https://media.ccc.de/v/32c3-7501-ten_years_after_we_lost_the_war","https://media.ccc.de/v/32c3-7501-ten_years_after_we_lost_the_war","unbounded_in_metadata","enumerated","S3"
"128","CCC-2015-054","CCC","2015","Intelexit","prospective_session","prospective_metadata","https://media.ccc.de/v/32c3-7426-intelexit","https://media.ccc.de/v/32c3-7426-intelexit","explicit_future_year_in_metadata","enumerated","S3"
"129","CCC-2015-055","CCC","2015","Predicting Crime in a Big Data World","prospective_session","prospective_metadata","https://media.ccc.de/v/32c3-7457-predicting_crime_in_a_big_data_world","https://media.ccc.de/v/32c3-7457-predicting_crime_in_a_big_data_world","unbounded_in_metadata","enumerated","S3"
"130","CCC-2015-056","CCC","2015","Security Nightmares 0x10","prospective_session","prospective_metadata","https://media.ccc.de/v/32c3-7546-security_nightmares_0x10","https://media.ccc.de/v/32c3-7546-security_nightmares_0x10","annual_series_horizon_requires_source_confirmation","enumerated","S3"
"131","CCC-2016-057","CCC","2016","Hacking the World","prospective_session","prospective_metadata","https://media.ccc.de/v/33c3-8349-hacking_the_world","https://media.ccc.de/v/33c3-8349-hacking_the_world","unbounded_in_metadata","enumerated","S3"
"132","CCC-2016-058","CCC","2016","Recount 2016: An Uninvited Security Audit of the U.S. Presidential Election","prospective_session","prospective_metadata","https://media.ccc.de/v/33c3-8074-recount_2016_an_uninvited_security_audit_of_the_u_s_presidential_election","https://media.ccc.de/v/33c3-8074-recount_2016_an_uninvited_security_audit_of_the_u_s_presidential_election","unbounded_in_metadata","enumerated","S3"
"133","CCC-2016-059","CCC","2016","radare demystified","prospective_session","prospective_metadata","https://media.ccc.de/v/33c3-8095-radare_demystified","https://media.ccc.de/v/33c3-8095-radare_demystified","unbounded_in_metadata","enumerated","S3"
"134","CCC-2016-060","CCC","2016","Security Nightmares 0x11","prospective_session","prospective_metadata","https://media.ccc.de/v/33c3-8413-security_nightmares_0x11","https://media.ccc.de/v/33c3-8413-security_nightmares_0x11","annual_series_horizon_requires_source_confirmation","enumerated","S3"
"135","CCC-2017-061","CCC","2017","Dude, you broke the Future!","prospective_session","prospective_metadata","https://media.ccc.de/v/34c3-9270-dude_you_broke_the_future","https://media.ccc.de/v/34c3-9270-dude_you_broke_the_future","unbounded_in_metadata","enumerated","S3"
"136","CCC-2017-062","CCC","2017","Gamified Control?","prospective_session","prospective_metadata","https://media.ccc.de/v/34c3-8874-gamified_control","https://media.ccc.de/v/34c3-8874-gamified_control","explicit_future_year_in_metadata","enumerated","S3"
"137","CCC-2017-063","CCC","2017","How can you trust formally verified software?","prospective_session","prospective_metadata","https://media.ccc.de/v/34c3-8915-how_can_you_trust_formally_verified_software","https://media.ccc.de/v/34c3-8915-how_can_you_trust_formally_verified_software","unbounded_in_metadata","enumerated","S3"
"138","CCC-2017-064","CCC","2017","ASLR on the line","prospective_session","prospective_metadata","https://media.ccc.de/v/34c3-9135-aslr_on_the_line","https://media.ccc.de/v/34c3-9135-aslr_on_the_line","unbounded_in_metadata","enumerated","S3"
"139","CCC-2017-065","CCC","2017","Growing Up Software Development","prospective_session","prospective_metadata","https://media.ccc.de/v/34c3-9044-growing_up_software_development","https://media.ccc.de/v/34c3-9044-growing_up_software_development","unbounded_in_metadata","enumerated","S3"
"140","CCC-2017-066","CCC","2017","Uncovering vulnerabilities in Hoermann BiSecur","prospective_session","prospective_metadata","https://media.ccc.de/v/34c3-9029-uncovering_vulnerabilities_in_hoermann_bisecur","https://media.ccc.de/v/34c3-9029-uncovering_vulnerabilities_in_hoermann_bisecur","unbounded_in_metadata","enumerated","S3"
"141","CCC-2017-067","CCC","2017","Coming Soon: Machine-Checked Mathematical Proofs in Everyday Software and Hardware Development","prospective_session","prospective_metadata","https://media.ccc.de/v/34c3-9105-coming_soon_machine-checked_mathematical_proofs_in_everyday_software_and_hardware_development","https://media.ccc.de/v/34c3-9105-coming_soon_machine-checked_mathematical_proofs_in_everyday_software_and_hardware_development","unbounded_in_metadata","enumerated","S3"
"142","CCC-2017-068","CCC","2017","Decoding Contactless (Card) Payments","prospective_session","prospective_metadata","https://media.ccc.de/v/34c3-8965-decoding_contactless_card_payments","https://media.ccc.de/v/34c3-8965-decoding_contactless_card_payments","unbounded_in_metadata","enumerated","S3"
"143","CCC-2017-069","CCC","2017","History and implications of DRM","prospective_session","prospective_metadata","https://media.ccc.de/v/34c3-9110-history_and_implications_of_drm","https://media.ccc.de/v/34c3-9110-history_and_implications_of_drm","unbounded_in_metadata","enumerated","S3"
"144","CCC-2017-070","CCC","2017","Policing in the age of data exploitation","prospective_session","prospective_metadata","https://media.ccc.de/v/34c3-8940-policing_in_the_age_of_data_exploitation","https://media.ccc.de/v/34c3-8940-policing_in_the_age_of_data_exploitation","unbounded_in_metadata","enumerated","S3"
"145","CCC-2017-071","CCC","2017","Protecting Your Privacy at the Border","prospective_session","prospective_metadata","https://media.ccc.de/v/34c3-9086-protecting_your_privacy_at_the_border","https://media.ccc.de/v/34c3-9086-protecting_your_privacy_at_the_border","unbounded_in_metadata","enumerated","S3"
"146","CCC-2017-072","CCC","2017","Fuck Dutch mass-surveillance: let's have a referendum!","prospective_session","prospective_metadata","https://media.ccc.de/v/34c3-9172-fuck_dutch_mass-surveillance_let_s_have_a_referendum","https://media.ccc.de/v/34c3-9172-fuck_dutch_mass-surveillance_let_s_have_a_referendum","unbounded_in_metadata","enumerated","S3"
"147","CCC-2017-073","CCC","2017","Security Nightmares 0x12","prospective_session","prospective_metadata","https://media.ccc.de/v/34c3-8888-security_nightmares_0x12","https://media.ccc.de/v/34c3-8888-security_nightmares_0x12","explicit_future_year_in_metadata","enumerated","S3"
"148","CCC-2018-074","CCC","2018","""The"" Social Credit System","prospective_session","prospective_metadata","https://media.ccc.de/v/35c3-9904-the_social_credit_system","https://media.ccc.de/v/35c3-9904-the_social_credit_system","explicit_future_year_in_metadata","enumerated","S3"
"149","CCC-2018-075","CCC","2018","Censored Planet: a Global Censorship Observatory","prospective_session","prospective_metadata","https://media.ccc.de/v/35c3-9877-censored_planet_a_global_censorship_observatory","https://media.ccc.de/v/35c3-9877-censored_planet_a_global_censorship_observatory","unbounded_in_metadata","enumerated","S3"
"150","CCC-2018-076","CCC","2018","Election Cybersecurity Progress Report","prospective_session","prospective_metadata","https://media.ccc.de/v/35c3-9917-election_cybersecurity_progress_report","https://media.ccc.de/v/35c3-9917-election_cybersecurity_progress_report","explicit_future_year_in_metadata","enumerated","S3"
"151","CCC-2018-077","CCC","2018","SD-WAN a New Hop","prospective_session","prospective_metadata","https://media.ccc.de/v/35c3-9446-sd-wan_a_new_hop","https://media.ccc.de/v/35c3-9446-sd-wan_a_new_hop","explicit_future_year_in_metadata","enumerated","S3"
"152","CCC-2018-078","CCC","2018","Taming the Chaos: Can we build systems that actually work?","prospective_session","prospective_metadata","https://media.ccc.de/v/35c3-9647-taming_the_chaos_can_we_build_systems_that_actually_work","https://media.ccc.de/v/35c3-9647-taming_the_chaos_can_we_build_systems_that_actually_work","unbounded_in_metadata","enumerated","S3"
"153","CCC-2018-079","CCC","2018","wallet.fail","prospective_session","prospective_metadata","https://media.ccc.de/v/35c3-9563-wallet_fail","https://media.ccc.de/v/35c3-9563-wallet_fail","unbounded_in_metadata","enumerated","S3"
"154","CCC-2018-080","CCC","2018","A Christmas Carol - The Spectres of the Past, Present, and Future","prospective_session","prospective_metadata","https://media.ccc.de/v/35c3-9893-a_christmas_carol_-_the_spectres_of_the_past_present_and_future","https://media.ccc.de/v/35c3-9893-a_christmas_carol_-_the_spectres_of_the_past_present_and_future","unbounded_in_metadata","enumerated","S3"
"155","CCC-2018-081","CCC","2018","A farewell to soul-crushing code","prospective_session","prospective_metadata","https://media.ccc.de/v/35c3-9812-a_farewell_to_soul-crushing_code","https://media.ccc.de/v/35c3-9812-a_farewell_to_soul-crushing_code","unbounded_in_metadata","enumerated","S3"
"156","CCC-2018-082","CCC","2018","Jailbreaking iOS","prospective_session","prospective_metadata","https://media.ccc.de/v/35c3-9618-jailbreaking_ios","https://media.ccc.de/v/35c3-9618-jailbreaking_ios","unbounded_in_metadata","enumerated","S3"
"157","CCC-2018-083","CCC","2018","Freedom needs fighters!","prospective_session","prospective_metadata","https://media.ccc.de/v/35c3-9973-freedom_needs_fighters","https://media.ccc.de/v/35c3-9973-freedom_needs_fighters","explicit_future_year_in_metadata","enumerated","S3"
"158","CCC-2018-084","CCC","2018","Internet of Dongs","prospective_session","prospective_metadata","https://media.ccc.de/v/35c3-9523-internet_of_dongs","https://media.ccc.de/v/35c3-9523-internet_of_dongs","unbounded_in_metadata","enumerated","S3"
"159","CCC-2018-085","CCC","2018","Security Nightmares 0x13","prospective_session","prospective_metadata","https://media.ccc.de/v/35c3-9685-security_nightmares_0x13","https://media.ccc.de/v/35c3-9685-security_nightmares_0x13","explicit_future_year_in_metadata","enumerated","S3"
"160","VB-2006-K01","Virus Bulletin","2006","Case: Virus X","keynote","keynote","https://www.virusbulletin.com/conference/vb2006/programme/","","unknown_until_source_screening","enumerated","pending_paper"
"161","VB-2006-K02","Virus Bulletin","2006","Data exfiltration techniques: how attackers steal your sensitive data","keynote","keynote","https://www.virusbulletin.com/conference/vb2006/programme/","","unknown_until_source_screening","enumerated","pending_paper"
"162","VB-2007-P01","Virus Bulletin","2007","Future threats","prospective_session","prospective_metadata","https://www.virusbulletin.com/conference/vb2007/programme/","https://www.virusbulletin.com/conference/vb2007/abstracts/future-threats/","unbounded_in_metadata","enumerated","pending_paper"
"163","VB-2008-K01","Virus Bulletin","2008","The AV industry: Quo Vadis?","keynote","keynote","https://www.virusbulletin.com/conference/vb2008/programme/","https://www.virusbulletin.com/uploads/pdf/conference_slides/2008/AlexEckelberry-VB2008.pdf","unknown_until_source_screening","enumerated","S3"
"164","VB-2008-P01","Virus Bulletin","2008","VB testing - present status, future plans","prospective_session","prospective_metadata","https://www.virusbulletin.com/conference/vb2008/programme/","https://www.virusbulletin.com/conference/vb2008/abstracts/last-minute-presentation-vb-testing-present-status-future-plans/","unbounded_controlled_plan","enumerated","pending_paper"
"165","VB-2009-K01","Virus Bulletin","2009","Reforming the landscape","keynote","keynote","https://www.virusbulletin.com/conference/vb2009/programme/","","unknown_until_source_screening","enumerated","pending_paper"
"166","VB-2009-P01","Virus Bulletin","2009","Malice through the looking glass: behaviour analysis for the next decade","prospective_session","prospective_metadata","https://www.virusbulletin.com/conference/vb2009/programme/","https://www.virusbulletin.com/conference/vb2009/abstracts/malice-through-looking-glass-behaviour-analysis-next-decade/","bounded_approximately_2019","enumerated","pending_paper"
"167","VB-2010-K01","Virus Bulletin","2010","Threats to the Social Web","keynote","keynote","https://www.virusbulletin.com/conference/vb2010/programme/","","unknown_until_source_screening","enumerated","pending_paper"
"168","VB-2011-K01","Virus Bulletin","2011","The m00p investigation: law enforcement and the anti-virus industry working in partnership","keynote","keynote","https://www.virusbulletin.com/conference/vb2011/programme/","","unknown_until_source_screening","enumerated","pending_paper"
"169","VB-2011-P01","Virus Bulletin","2011","Predicting the future of stealth attacks","prospective_session","prospective_metadata","https://www.virusbulletin.com/conference/vb2011/programme/","https://www.virusbulletin.com/uploads/pdf/conference_slides/2011/Kapoor-Mathur-VB2011.pdf","unbounded_near_future","enumerated","S3"
"170","VB-2011-P02","Virus Bulletin","2011","Security 2012: staying ahead of the game","prospective_session","prospective_metadata","https://www.virusbulletin.com/conference/vb2011/programme/","https://www.virusbulletin.com/conference/vb2011/abstracts/security-2012-staying-ahead-game/","bounded_2012","enumerated","pending_paper"
"171","VB-2011-P03","Virus Bulletin","2011","2020 threats: too far away to discuss or too close to ignore?","prospective_session","prospective_metadata","https://www.virusbulletin.com/conference/vb2011/programme/","https://www.virusbulletin.com/conference/vb2011/abstracts/2020-threats-too-far-away-discuss-or-too-close-ignore/","bounded_2020","enumerated_already_screened_insufficient_primary_source","S1"
"172","VB-2012-K01","Virus Bulletin","2012","The trade in security exploits: free speech or weapons in need of regulation","keynote","keynote","https://www.virusbulletin.com/conference/vb2012/programme/","https://www.virusbulletin.com/uploads/pdf/conference_slides/2012/Soghoian-VB2012.pdf","unknown_until_source_screening","enumerated","S3"
"173","VB-2013-K01","Virus Bulletin","2013","Ethics and the AV industry in the age of WikiLeaks","keynote","keynote","https://www.virusbulletin.com/conference/vb2013/programme/","","unknown_until_source_screening","enumerated","S3"
"174","VB-2014-K01","Virus Bulletin","2014","Choose your own keynote adventure - bounties and standards and vuln disclosure, oh my!","keynote","keynote","https://www.virusbulletin.com/conference/vb2014/programme/","","unknown_until_source_screening","enumerated","pending_paper"
"175","VB-2014-P01","Virus Bulletin","2014","We know it before you do: predicting malicious domains","prospective_session","prospective_metadata","https://www.virusbulletin.com/conference/vb2014/programme/","","unbounded_in_metadata","enumerated","S3"
"176","VB-2014-P02","Virus Bulletin","2014","Bootkits: past, present & future","prospective_session","prospective_metadata","https://www.virusbulletin.com/conference/vb2014/programme/","https://www.virusbulletin.com/virusbulletin/2014/11/vb2014-paper-bootkits-past-present-future/","unbounded_in_metadata","enumerated","S3"
"177","VB-2015-K01","Virus Bulletin","2015","The Internet of Bad Things, Observed","keynote","keynote","https://www.virusbulletin.com/conference/vb2015/programme/","","unknown_until_source_screening","enumerated","S3"
"178","VB-2015-K02","Virus Bulletin","2015","One man's anti-malware researcher is...","keynote","keynote","https://www.virusbulletin.com/conference/vb2015/programme/","https://www.virusbulletin.com/conference/vb2015/abstracts/keynote-address-one-man-s-anti-malware-researcher","unknown_until_source_screening","enumerated","S3"
"179","VB-2015-P01","Virus Bulletin","2015","The Clean Software Alliance, security, and the future of unwanted behaviours","prospective_session","prospective_metadata","https://www.virusbulletin.com/conference/vb2015/programme-old/","","unbounded_in_metadata","enumerated","pending_paper"
"180","VB-2015-P02","Virus Bulletin","2015","POS fraud - trends and counter-actions to mass fraud","prospective_session","prospective_metadata","https://www.virusbulletin.com/conference/vb2015/programme/","https://www.virusbulletin.com/virusbulletin/2016/12/vb2015-paper-pos-fraud-trends-and-counter-actions-mass-fraud/","bounded_approximately_2020","enumerated_already_screened","S3"
"181","VB-2015-P03","Virus Bulletin","2015","Will Android Trojans, Worms or Rootkits Survive in SEAndroid and Containerization?","prospective_session","prospective_metadata","https://www.virusbulletin.com/conference/vb2015/programme/","https://www.virusbulletin.com/virusbulletin/2016/02/vb2015-paper-will-android-trojans-worms-or-rootkits-survive-seandroid-and-containerization/","unbounded_near_future","enumerated","S3"
"182","VB-2016-K01","Virus Bulletin","2016","Opening keynote address","keynote","keynote","https://www.virusbulletin.com/conference/vb2016/programme/","https://www.virusbulletin.com/conference/vb2016/abstracts/keynote-1/","unknown_until_source_screening","enumerated","pending_paper"
"183","VB-2016-K02","Virus Bulletin","2016","Closing keynote address","keynote","keynote","https://www.virusbulletin.com/conference/vb2016/programme/","https://www.virusbulletin.com/conference/vb2016/abstracts/keynote-2","unknown_until_source_screening","enumerated","pending_paper"
"184","VB-2016-P01","Virus Bulletin","2016","The Beginning of the End(point): Where we are now and where we'll be in five years","prospective_session","prospective_metadata","https://www.virusbulletin.com/conference/vb2016/programme/","https://www.virusbulletin.com/conference/vb2016/abstracts/last-minute-paper-beginning-endpoint-where-we-are-now-and-where-well-be-five-years/","bounded_approximately_2021","enumerated_already_screened","S3"
"185","VB-2017-K01","Virus Bulletin","2017","Inside Cloudbleed","keynote","keynote","https://www.virusbulletin.com/conference/vb2017/programme/","","unknown_until_source_screening","enumerated","pending_paper"
"186","VB-2017-K02","Virus Bulletin","2017","Failure is an option","keynote","keynote","https://www.virusbulletin.com/conference/vb2017/programme/","https://www.virusbulletin.com/conference/vb2017/abstracts/keynote-address-failure-option/","unknown_until_source_screening","enumerated","pending_paper"
"187","VB-2018-K01","Virus Bulletin","2018","Customers, suppliers, and the adversaries that come with them","keynote","keynote","https://www.virusbulletin.com/conference/vb2018/programme","https://www.virusbulletin.com/conference/vb2018/abstracts/keynote-address-customers-suppliers-and-adversaries-come-them/","unknown_until_source_screening","enumerated","pending_paper"
"188","VB-2018-K02","Virus Bulletin","2018","Denial of trust: the new attacks","keynote","keynote","https://www.virusbulletin.com/conference/vb2018/programme","https://www.virusbulletin.com/conference/vb2018/abstracts/keynote-address-denial-trust-new-attacks","unknown_until_source_screening","enumerated","pending_paper"
"189","VB-2018-P01","Virus Bulletin","2018","Triada: the past, the present and the (hopefully not existing) future","prospective_session","prospective_metadata","https://www.virusbulletin.com/conference/vb2018/programme","https://www.virusbulletin.com/conference/vb2018/abstracts/vb2018-partner-presentation-tba/","unbounded_in_metadata","enumerated","S3"
